Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		E2		AI5		AI1		AI6		AI2		I3		E3		
(ms)		(V)		(V)		(V)		(V)		(V)		(V)		(A)		(V)		
29.199		58.1		137.9		3.69		3.69		0.01		0.02		0.243		56.3		
29.297		47.3		140.5		3.68		3.69		0.01		0.01		0.207		49.8		
29.395		40.3		145.7		3.69		3.69		0.01		0.02		0.182		40.3		
29.492		33.8		151.4		3.69		3.69		0.01		0.01		0.142		30.8		
29.590		29.9		151.4		3.68		3.69		0.01		0.01		0.112		24.7		
29.688		23.0		158.4		3.69		3.69		0.01		0.01		0.085		19.5		
29.785		13.9		162.4		3.69		3.69		0.01		0.01		0.059		11.3		
29.883		7.8		165.9		3.69		3.69		0.01		0.02		0.023		6.9		
29.980		-1.7		166.3		3.69		3.69		0.02		0.01		0.004		0.4		
30.078		-11.3		171.6		3.69		3.69		0.01		0.02		0.000		2.2		
30.176		-17.8		176.8		3.69		3.69		0.01		0.01		0.013		0.9		
30.273		-24.3		177.2		3.69		3.69		0.01		0.01		0.002		0.4		
30.371		-33.0		179.4		3.69		3.69		0.01		0.02		0.000		0.4		
30.469		-36.4		181.6		3.69		3.69		0.01		0.01		-0.004		-1.7		
30.566		-43.8		182.9		3.69		3.69		0.01		0.01		-0.004		1.3		
30.664		-49.4		186.9		3.69		3.68		0.01		0.02		-0.011		-1.3		
30.762		-52.9		188.2		3.69		3.69		0.01		0.01		0.000		-2.2		
30.859		-61.1		186.0		3.69		3.68		0.01		0.01		-0.011		0.9		
30.957		-67.6		191.2		3.69		3.69		0.02		0.01		-0.004		0.4		
31.055		-71.1		192.1		3.69		3.69		0.02		0.01		0.000		0.4		
31.152		-71.5		189.1		3.69		3.69		0.02		0.01		0.006		0.0		
31.250		-80.7		192.6		3.69		3.69		0.01		0.02		-0.006		-2.2		
31.348		-83.3		193.0		3.69		3.69		0.01		0.02		-0.004		1.7		
31.445		-89.8		195.6		3.69		3.69		0.01		0.01		0.004		1.3		
31.543		-96.3		196.9		3.69		3.69		0.01		0.02		0.004		1.3		
31.641		-98.4		198.7		0.02		3.69		3.68		0.02		0.006		2.2		
31.738		-105.8		193.9		0.02		3.69		3.68		0.01		0.372		86.7		
31.836		-108.8		194.3		0.02		3.69		3.68		0.01		0.355		84.1		
31.934		-111.9		195.2		0.02		3.69		3.69		0.02		0.355		81.0		
32.031		-119.7		197.4		0.02		3.69		3.68		0.01		0.330		76.3		
32.129		-122.7		192.1		0.02		3.69		3.68		0.02		0.311		71.1		
32.227		-121.8		195.2		0.02		3.69		3.68		0.01		0.298		67.2		
32.324		-126.6		194.7		0.02		3.69		3.69		0.02		0.283		62.4		
32.422		-134.0		189.5		0.02		3.69		3.68		0.01		0.252		55.9		
32.520		-138.8		192.1		0.01		3.69		3.68		0.02		0.235		52.0		
32.617		-145.7		185.6		0.02		3.69		3.68		0.01		0.195		46.8		
32.715		-147.0		188.6		0.02		3.69		3.68		0.02		0.182		39.4		
32.813		-148.3		181.6		0.02		3.69		3.68		0.01		0.148		31.2		
32.910		-156.1		179.0		0.02		3.69		3.68		0.02		0.118		23.0		
33.008		-157.0		179.0		0.02		3.69		3.68		0.01		0.078		21.7		
33.105		-160.4		176.4		0.02		3.69		3.68		0.01		0.044		14.3		
33.203		-165.2		168.9		0.02		3.69		3.68		0.02		0.021		4.8		
33.301		-166.5		161.5		0.02		3.69		3.68		0.02		0.002		1.3		
33.398		-172.6		162.8		0.02		3.69		3.68		0.02		0.004		1.3		
33.496		-176.5		154.0		0.02		3.69		3.68		0.02		0.004		1.3		
