Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		E2		AI5		AI1		AI6		AI2		I3		E3		
(ms)		(V)		(V)		(V)		(V)		(V)		(V)		(A)		(V)		
23.145		163.0		-171.6		0.01		0.02		0.01		3.68		0.630		-167.7		
23.242		170.0		-168.5		0.01		0.02		0.02		3.68		0.586		-171.2		
23.340		203.8		-177.7		0.02		0.02		0.01		0.02		0.654		-15.2		
23.438		176.0		-153.2		0.02		0.02		0.02		0.02		0.759		-26.9		
23.535		181.2		-150.5		0.02		0.02		0.02		0.02		0.833		-34.2		
23.633		180.8		-147.5		0.02		0.02		0.02		0.02		0.880		-43.3		
23.730		185.6		-146.2		0.02		0.02		0.01		0.02		0.954		-48.1		
23.828		186.9		-141.4		0.02		0.02		0.01		0.01		0.994		-59.8		
23.926		189.1		-135.2		0.02		0.02		0.02		0.02		1.022		-62.0		
24.023		188.2		-131.3		0.02		0.02		0.02		0.02		1.060		-67.2		
24.121		191.7		-129.1		0.02		0.02		0.02		0.02		1.085		-68.5		
24.219		193.8		-122.1		0.02		0.02		0.02		0.02		1.096		-76.7		
24.316		197.7		-119.0		0.02		0.02		0.02		0.02		1.115		-84.1		
24.414		195.1		-116.0		0.02		0.02		0.02		0.02		1.130		-86.2		
24.512		198.2		-110.7		0.02		0.02		0.02		0.02		1.142		-94.0		
24.609		198.2		-106.3		0.02		0.02		0.02		0.02		1.161		-97.5		
24.707		201.2		-105.5		0.02		0.02		0.02		0.02		1.170		-104.4		
24.805		199.5		-99.3		0.02		0.02		0.02		0.02		1.163		-110.1		
24.902		202.1		-95.8		0.02		0.02		0.02		0.02		1.166		-110.5		
25.000		199.9		-91.0		0.02		0.02		0.02		0.02		1.163		-117.0		
25.098		199.0		-88.8		0.02		0.02		0.02		0.02		1.146		-118.7		
25.195		200.3		-84.0		0.02		0.02		0.02		0.02		1.132		-120.5		
25.293		204.2		-81.8		0.02		0.02		0.02		0.02		1.089		-128.3		
25.391		202.1		-77.9		0.02		0.03		0.02		0.02		1.058		-131.3		
25.488		200.8		-72.6		0.02		0.02		0.02		0.02		1.026		-133.0		
25.586		197.7		-71.8		0.02		0.02		0.02		0.02		0.994		-133.9		
25.684		196.9		-62.6		0.02		0.02		0.02		0.02		0.965		-135.6		
25.781		193.4		-56.9		0.02		0.02		0.02		0.02		0.929		-144.7		
25.879		195.1		-49.0		0.02		0.02		0.02		0.02		0.897		-147.3		
25.977		193.8		-44.2		0.02		0.02		0.02		0.02		0.869		-152.5		
26.074		187.8		-38.1		0.02		0.02		0.02		0.02		0.829		-155.1		
26.172		185.6		-31.1		0.02		0.02		0.02		0.02		0.783		-159.0		
26.270		183.0		-24.9		0.02		0.02		0.02		0.02		0.755		-162.5		
26.367		179.9		-17.9		0.02		0.02		0.02		0.02		0.719		-164.7		
26.465		176.0		-11.4		0.02		0.02		0.02		0.02		0.649		-171.6		
26.563		168.7		-3.5		0.02		0.02		0.02		0.02		0.594		-170.3		
26.660		144.4		10.9		3.69		0.03		0.01		0.02		0.660		-31.6		
26.758		153.9		17.9		3.68		0.03		0.01		0.02		0.747		-24.3		
26.855		155.2		28.4		3.68		0.02		0.02		0.02		0.814		-31.6		
26.953		147.0		33.3		3.69		0.03		0.02		0.02		0.865		-42.5		
27.051		142.7		41.1		3.68		0.02		0.02		0.02		0.924		-47.2		
27.148		137.0		49.5		3.69		0.03		0.01		0.02		0.954		-52.9		
27.246		138.3		56.0		3.68		0.02		0.02		0.02		0.984		-59.8		
27.344		130.5		60.8		3.68		0.03		0.02		0.02		1.039		-67.2		
27.441		126.2		65.2		3.68		0.02		0.02		0.02		1.070		-73.2		
27.539		123.1		70.9		3.69		0.02		0.01		0.02		1.098		-78.4		
27.637		119.7		77.9		3.68		0.03		0.02		0.02		1.130		-81.9		
27.734		115.8		83.6		3.69		0.02		0.02		0.02		1.153		-88.4		
27.832		114.0		84.5		3.68		0.02		0.01		0.02		1.182		-95.8		
27.930		107.1		92.3		3.68		0.03		0.02		0.02		1.187		-99.2		
28.027		104.5		95.8		3.69		0.02		0.01		0.02		1.185		-101.8		
28.125		98.9		98.9		3.68		0.02		0.02		0.02		1.176		-105.7		
